character,dialogue
Monica," Yani temelde bu, Rachel'ın kullandığı her şeyden kurtulma satışı."
Ross, Dokundum. Kullandım. Üzerine oturdum. Üzerine uyudum.
Gunther, Hepsini alırım.
Joey," Hey, Ross, buna razı mısın?"
Ross," Bak, eğer Emily'nin istediğini yapıp onu New York'a götürebilirsem, eminim her şey yoluna girecektir."
Chandler," Tamam, ama bunun biraz aşırı olduğunu düşünmüyor musun?"
Ross, Yaptıklarımdan sonra? Onu suçlayabilir misin?
Phoebe," Aman Tanrım! Kolay kurtuldun! Arkadaşım Silvie'nin kocası yatakta başka birinin adını söylediğinde, ona küfür etti ve şeyini yeşile çevirdi."
Joey,"  Ne yapıyor? Emily, Ross'un mobilyalarının Rachel'ınkileri olduğunu mu düşünüyor?"
Monica, Şimdi sakin ol Joey.
Joey," Hayır! Her şey altüst oluyor, biliyor musun? Emily, Ross'un Rachel'ı görmesine izin vermiyor, Rachel'ı görmeyi bırakmayacağız, bu yüzden Ross bizi görmeyi bırakıyor!"
Phoebe," Ah, bundan nefret ediyorum. Her şey değişiyor."
Chandler," Evet, biliyorum, Ross'u kaybediyoruz, Joey bu yüzden dedi..."
Monica," Bak, ben de bundan mutlu değilim, ama biliyorsun, eğer-eğer Ross mutlu olduğunu söylerse, o zaman Emily hakkındaki duygularımızı kendimize saklamak zorunda kalacağız. Buna tamam mı diyorsun?"
Joey," Hayır! Ama biliyorsun, ben bir oyuncuyum, havalı davranırım."
Rachel," Aman Tanrım! Depo odaları beni ürpertiyor! Monica, hadi ama lütfen acele et tatlım! Lütfen?"
Monica," Rachel, küçük yuvarlak waffle'ları istiyorsan, küçük waffle makinesini bulana kadar beklemen gerekecek."
Rachel, Küçük yuvarlak waffle'ları istiyorum.
Monica," Tamam.  Op, işte burada! Böcek bombasının hemen altında. Acaba yemek pişiren bir şeyi koymak için en iyi yer zehir kutusunun altı mıdır?"
Rachel," Tamam, biliyor musun? Ben-ben tost yiyeceğim!"
Rachel, Arghhhh!!!!!!
Monica, Aman Tanrım! Sisle onu! Sisle onu!
Phoebe, Bu paltoyla ne yapacağımı bilmiyorum.
Joey, Alıyorum!
Phoebe, Bu işe yarayabilir!
Joey," Ooh-ooh-ooh, evet!  Tamam mı? Tamam, ne düşünüyorsun?"
Chandler, 5'te yayındasın Bayan Minnelli.
Ross,"  Hayır-hayır-hayır, sadece biraz ani oldu.  Hayır, harika. Tamam mı? Ben de tamamen katılıyorum. Ben de seni seviyorum, tamam mı? Hoşça kal."
Joey, Ne oldu Ross?
Ross," Hiçbir şey. Ah, aslında, harika bir haber! Emily ile telefonda görüştüm ve yeni bir daireye taşınıyormuşum gibi görünüyor. Yuhu!"
Phoebe, Neden?
Ross," Şey, onun düşüncesi, ve ben de katılıyorum, yepyeni mobilyalar, neden yepyeni bir daire olmasın? Kuzeninin kiraya verebileceği harika bir yeri var, bir tarafında nehir manzarası var, diğer tarafında Columbia."
Joey, Orası şehrin çok yukarısında! Üç tren ötede!  Bu harika! O trene binmeyi çok seviyorum!
Chandler, Yani buna gerçekten tamam mısın?
Ross," Evet! Evet! Yani, işten biraz uzakta ama, şey, bilirsin, işe gidip gelirken çok şey halledebiliyorum. Bana zaman armağanı verildi!"
Chandler," Bu çok komik, çünkü geçen Noel'de bana alan armağanı verildi. Bunları bir araya getirip bir süreklilik oluşturmalıyız."
Joey," Şimdi ohareket mi ediyor? Dostum, Emily ona ne yapıyor?  Aman Tanrım!! O burada bile değil!!!"
Rachel, Beyler! Beyler!
Monica," Biz, biz sadece depolama alanındaydık ve gerçekten ürkütücü bir adam gördük!"
Rachel," Çılgın gözlü, tüylü bir canavar adam gibiydi! Bir, bir bigfoot ya da bir yeti ya da bir şey gibiydi!"
Monica," Ve bize bir baltayla geldi, bu yüzden Rachel ona böcek bombası kullanmak zorunda kaldı!"
Rachel,"  Evet, ben-ben-ben sadece sekmeyi çektim ve yeti kıçını sisledim!"
Joey," Uhh, koyu saç, gür sakal gibi?"
Rachel, Evet!
Joey," Evet, Danny'yi sisledin."
Rachel, Lütfen! Danny'yi sislemedik! Danny kim?
Joey," Dan yeni alt kata taşındı. Evet, And Dağları'ndaki dört aylık bir yürüyüşten yeni döndü. İyi bir adam."
Monica," Ah, iyi biri. İyi biri! Bilirsin, sen her zaman sislediğimiz insanları savunursun!"
Danny, Evet?
Rachel," Merhaba! Bizi hatırlamayabilirsin, ama seni sislediğimiz kızlar biziz."
Monica, Seni sislediğimiz için gerçekten üzgünüz.
Danny, Tamam.
Rachel," Merhaba! Bilmeni isterim ki, seni sislediğimiz için bir-biraz öyle bir şey olduğunu düşündük."
Danny, Tamam.
Phoebe, Sanırım haklı. Kahvehanede çok fazla takılıyorsunuz.
Monica," Tanrım, Ross konusunda kendimi çok suçlu hissediyorum."
Phoebe," Ah, biliyorum."
Joey, Sanki benim hatammış gibi hissediyorum.
Chandler, Bir nevi? Bunu kendine saklasaydın bunların hiçbiri olmazdı.
Joey," Eh, bu aralar çok fazla şeyi kendime saklıyorum, bir şeyler mutlaka ağzımdan kaçardı!"
Chandler," Eh, bence söylediklerin çok cesurca."
Phoebe," Tamam, artık burada oturamam. Yürüyerek bir yerlere gitmem gerek."
Chandler," Pheebs, mantoyla ne yapıyorsun? Hayvan hakları meselesi ne olacak?"
Phoebe," Eh, okudum ve bilgin olsun, vizonlar pek hoş değil. Tamam, itiraf ediyorum! Bu mantoyu seviyorum! Tamam, ben—bu, Phil Huntley dahil, etrafımda olan en iyi şey!  Phil Huntley'i hatırlıyor musun? O iyiydi!"
Rachel, Merhaba!
Danny, Yani kısa saçı daha çok seviyorsun.
Rachel, Ne? Yeti—yani Danny?
Danny, O sis kokusundan kurtulmak için saçımı kesmek zorunda kaldım.
Rachel," Ah. Dinle, çok üzgünüm. Keserdim, eğer çok.... Bilirsin işte, öyle görünmeseydin seni asla sislemezdim."
Danny, Kesinlikle. Bazı insanlar sadece görünüşe önem verir.
Rachel,  Ne?
Danny, Bu harika. Harika.
Rachel, Ne? Hey! Hayır-hayır-hayır! Bu hiç hoş değil! Beni tanımıyorsun bile!
Danny," Hadi ama, alışveriş çantalarını ve Sack'in kataloğunu aldın."
Rachel," Yani bundan beni tamamen çözdüğünü mü düşünüyorsun? Eh, çözemedin! Bilirsin ya, burada dezavantajlı çocuklar için oyuncaklar olabilir!"
Danny, Sen öyle mi?
Rachel," Şey, bilirsin ya, eğer çocuklar Capri pantolonlarla oynamayı severlerse."
Danny, Tamam.
Rachel, Ve bunu söylemeyi bırak! Bundan nefret ediyorum!
Danny, Tamam!
Rachel, Tamam! Seni yargıladım. Ani bir yargıda bulundum. Ama sen de yaptın! Ve sen daha kötüsün çünkü aptalca anlık yargına bağlı kalıyorsun! Bir saniyeliğine bile aklını açıp yanılıp yanılmadığını göremiyorsun! Bu senin hakkında ne söylüyor?
Danny, Karşıdaki pizzacı iyi mi?
Rachel, Ne?!
Danny, Açım. Pizza yemek ister misin? Daha fazlası varsa bağırmaya devam edebilirsin.
Rachel, Tamam. Tamam.
Danny, Bunu söylemeyi bırak. Bundan nefret ediyorum.
Chandler," Eee, Ross?"
Phoebe, Hala bize kızgın mısın?
Ross, Evet.
Phoebe," Oh iyi! Çünkü bir ""Üzgünüm"" şarkımız var."
Ross, Biliyor musun? Gerçekten havamda değilim.
Joey," Bak, Ross, kendimi çok kötü hissediyorum. Yani, bütün bunları yaşıyorsun ve ben sadece bir aptal gibi davrandım."
Chandler," Evet, çok üzgünüz."
Phoebe,  Şarkıya biraz fazla basıyorsun.
Joey," Bak, çizgiyi aştık, seni tamamen destekliyoruz."
Monica," Ne karar verirsen ver, ne yaparsan yap."
Phoebe," Tamam, şimdi şarkıdan dizeleri alıyorsun!"
Ross," Bak, bu yeterince zor! Şu anda gerçekten size ihtiyacım var."
Phoebe, Evet! Kesinlikle! Ve bu yüzden...
Monica, Bu gece neden gelmiyorsun? Ve sana en sevdiğin yemeği yapayım.
Ross, Tamam. Teşekkürler çocuklar. Pheebs kürk mü giyiyorsun?
Phoebe," Tamam, biraz perspektif kazanalım insanlar; sanki bir rehber köpek paltosu giymiyorum!"
Joey," Hey, Ross, sanırım bugün neden biraz kontrolden çıktığımı anlıyorum."
Ross," Anlıyorsun, değil mi?"
Joey," Evet, görüyorsun ya, şey, ben bir oyuncuyum. Değil mi? Yani duygularımı yüzeyde tutmam gerek, anlıyor musun? Ne demek istediğimi anladın mı? Havada bir sürü top var.  Ne demek istediğimi anlıyor musun? Zor! Benim gibi adamlar, bilirsin, etrafta dolanırsın, yalnızsındır..."
Ross, Neyden bahsediyorsun?
Joey,  Emin değilim.
Rachel,  Merhaba!
Monica," Hey, kendine bak! Nerelerdeydin?"
Rachel," Ah, Danny ile pizza yemeye gittim."
Monica, Bu nasıl oldu?
Rachel, O yeti çok tatlı konuşuyor.
Monica," Umarım tok değilsindir, çünkü akşam yemeği neredeyse hazır."
Rachel," Evet, bilirsin ya, ben-ben sadece odamda takılmayı düşünüyorum."
Hepsi, Hayır! Neden?
Rachel," Hadi çocuklar! Dinle, Emily seninle burada akşam yemeği yediğimi bilseydi çılgına dönerdi ve sen de biliyorsun. Sorun değil, gerçekten... Önemi yok."
Ross, Bekle! Bekle! Bekle! Biliyor musun? Sadece kal. Lütfen? Şey... Kalırsan benim için çok şey ifade ederdi.
Rachel," Ross, ben..."
Joey, RACHEL LÜTFEN!!! BİZİMLE BİRLİKTE AKŞAM YEMEĞİ YE!!!
Rachel," Tamam. Tamam. Joey, sorun değil. Sakin ol."
Joey," Tamam, özür dilerim. Özür dilerim. Görüyorsun ya Rach, ben bir oyuncuyum..."
Ross," Hey! Hey, bak! Çirkin Çıplak Adam geri döndü!"
Rachel, Onu uzun zamandır görmedim!
Phoebe," Aman Tanrım, o şişko piçi gerçekten özledim!"
Monica," Vay canına, bu çok garip. Bunun hepimizin birlikte takılacağı son zaman olabileceğini yeni fark ettim."
Joey, Sanki biliyormuş gibi.
Monica," Ben bakarım.  Merhaba.  Merhaba Emily!  Evet, şey sen-sen onu takip ettin. Bir saniye bekle."
Ross," Hey!  Evet-evet, sadece akşam yemeği yiyoruz.  Şey, evet, tabii ki, şey, bekle.  Merhaba demek istiyor.  Bekle."
Phoebe, Merhaba Emily!
Chandler, Merhaba!
Emily, Herkese merhaba. Peki ben de kime merhaba diyorum?
Joey," Şey, burada kimlerin olduğunu bilmiyorum ama kesinlikle burada olmayanların kim olduğunu söyleyebilirim ve o da Rachel!!"
Emily,  Umarım öyle değildir. Ross artık bundan daha iyisini biliyordur.
Ross," Biliyor musun? Şey, Rachel burada!"
Emily, Orada mı?!
Chandler," Ah evet, orada-orada o!"
Ross," Evet, evet, burada."
Emily," Ross, beni hoparlörden çıkar."
Ross,  Merhaba.
Emily, Bana bunu nasıl yapabilirsin?! Rachel hakkındaki hislerimi gayet açık bir şekilde ifade ettiğimi sanıyordum!
Ross,"  Bak Emily, sadece arkadaşlarımla akşam yemeği yiyorum, tamam mı?"
Emily, Ondan uzak duramayacağın çok açık.
Ross," Emily, bu saçmalık. Bak, ben-ben senin için taşınıyorum, senin için hayatımdan arkadaşlarımı çıkarıyorum. Lütfen uçağa bin ve New York'a gel. Tamam, göreceksin ki sen benim birlikte olmak istediğim tek kişisin."
Emily, Oraya gittiğimde kendimi daha iyi hissedeceğim ve her zaman nerede olduğunu bileceğim.
Ross," Her zaman nerede olduğumu bilemezsin. Bak, bana güvenmiyorsan bu evlilik asla yürümeyecek."
Emily, Haklısın.
Ross," Peki, bana güvenebilir misin?"
Emily, Hayır.
Joey, Bence her şey yolunda gidiyor. Gülümsediği anlaşılıyor.
Monica, Nasıl anlayabiliyorsun? Sadece başının arkasını görebiliyorsun!
Joey," Kesinlikle anlayabiliyorsun! İşte bak, beni izle.  Gülümse! Kaşlarını çat. Gülümse! Kaşlarını çat.  Gülümse!"
Ross, Sanırım bu kadar.
Hepsi," Neden, ne oldu?"
Joey, Ne oldu? Ne oldu?
Ross, Evliliğim bitti.
Hepsi, Ne?!
Monica," Ah, tatlım. Ah, şuna bak. Titriyorsun."
Phoebe, İşte.
Rachel," Ross, tatlım, yapabileceğimiz bir şey var mı?"
Ross, Evet. Gunther'den mobilyalarımı geri almama yardım edebilirsin.
Danny, Evet?
Rachel," Merhaba! Sizi rahatsız ettiğim için özür dilerim ama özür dilemenizi kabul etmemizi kabul edemeyiz, gerçekten de bunu kastettiğinizi sanmıyorum."
Monica, Evet.
Danny, Tamam!
Monica, Vay canına! Bu adam çok kaba!
Rachel, Gerçekten mi! Bu adamda ne var? Yani sizi bulandırırsam beni affedersiniz.
Monica, Birazcık öyle yaptın.
Rachel," Aman Tanrım, tatlım, çok üzgünüm!"
Monica, Seni tamamen affediyorum!
Rachel, Gerçekten mi?
Monica, Evet!
Phoebe, Hey!
Monica, Hey!
Phoebe," Dinle, krematoryumun sahibi olan arkadaşım Chris'i tanıyor musun?"
Monica, Krematoryum Chris mi? Elbette!
Phoebe, Eğer tanıdığım bir sonraki ölen kişiyi getirirsem kürk mantomu bedavaya yakacağını söyledi.
Rachel," Aman Tanrım! Aman Tanrım, şu kürklere bak!"
Monica," Çok bağlanma, yakılacak."
Rachel," Ne? Uhh, Phoebe, tatlım, tatlım, senin tuhaf olduğunu biliyorum ve bundan çok zevk alıyorum, aslında hepimiz çok zevk alıyoruz, ama böyle bir mantoyu yok edersen bu doğaya karşı bir suç gibi olur! Doğaya değil, modaya karşı!"
Phoebe," Bu moda mı?!  Tamam, yani sana göre ölüm moda mı?! Bu gerçekten komik.  İşte Phoebe, şey, bilirsin işte, kış Rusya'sının hırsızlık tuzaklarından gelen keskin uçlu tüylü leşiyle. Yani, bunun gerçekten güzel göründüğünü mü düşünüyorsun?  Çünkü ben öyle düşünüyorum."
Ross,  Ben de seni özlediğimi biliyorum. Seni görmeyi sabırsızlıkla bekliyorum. Seni seviyorum. Hoşça kal.
Chandler," Tamam, burada ne var? Kayalar mı?"
Ross," Hayır-hayır, bu benim fosil örnekleri koleksiyonum."
Chandler," Yani, kayalar."
Ross," Bu daireyi gerçekten özleyeceğim. Biliyor musun, Ben-Ben ilk adımlarını tam orada attı."
Joey," Ohh. Hey, bu şeye  çarptığımı ve beni biraz sersemlettiğini hatırlıyor musun?"
Ross," Burayı çok sevdim! Doğrusunu söylemek gerekirse, taşınmak zorunda kalmamayı dilerdim."
Joey," Uhh, bundan pek de memnun olmadığını mı söylüyorsun?"
Ross," Yani, eğer Emily bana bir seçenek sunsaydı..."
Joey," Bir seçeneğin var!! Ross, neden onu dinliyorsun?! Sen, sen deli misin?!"
Ross, Neden?
Joey," Emily'nin senden yapmanı istediği şey doğru değil! O tamamen--Owww!! Beni çimdiklemeyi bırak! Bakın, şimdi sizler Ross mutlu olduğu sürece ağzımı kapalı tutmam gerektiğini söylediniz, değil mi? Bana tam olarak mutlu olmadığını söyledi."
Ross, Neler oluyor?
Joey, Hepimiz Emily'den nefret ediyoruz!
Phoebe, Hayır!!
Monica," Hayır, Ross, Emily'den nefret etmiyoruz. Biz-biz sadece, biz sadece onu mutlu etmek için çok fazla fedakarlık yapmak zorunda olduğunu düşünüyoruz."
Joey, Evet!
Chandler," Bakın, biz sadece onun biraz mantıksız davrandığını düşünüyoruz."
Joey, Evet! Evet! Mantıksız!
Ross," Mantıksız mı? Sizden biri evlendiğinde bu konuşmayı yapalım! Bir evliliğin yürümesi için ne gerektiğini bilmiyorsunuz! Tamam, bu uzlaşmayla ilgili! Her zaman hoşunuza gidiyor mu? Hayır! Yapıyor musunuz? Evet! Çünkü"
handler, Çıplak kabilenin kadınlarına mı bakıyorsun?
Joey," Hayır, bak."
Chandler, Bu bir domuz.
Joey," Biliyorum, biliyorum ama üzerindeki düğmelere bak."
Chandler, Hey!
Ross, Emily'nin kuzeni beni kovdu!
Chandler, Ne?!
Joey, Neden?
Ross," Şey, karınızın kuzeninden bir daireyi alt kiraya verdiğinizde ve sonra boşandığınızda, bazen kuzen aniden dairesini geri ister."
Chandler, Bunu nasıl yapabilir? Bir kira sözleşmesi imzalamadınız mı?
Ross, Aile söz konusu olduğunda kimin kira sözleşmesine ihtiyacı olur ki!
Joey," Hey, bizimle kalabilirsin! Seninle ilgileneceğiz!"
Chandler," Ah, evet! Kesinlikle! Neye ihtiyacın olursa dostum! Ama daha iyi hissettiğin anda bana söz vermelisin ki saçlarınla ​​dalga geçebilelim!"
Joey, Evet.
Ross, Tamam.
Joey, Tamam.
Ross," Teşekkürler çocuklar, bunu gerçekten takdir ediyorum. Tamam, tekrar bavulumu toplamaya başlıyorum. Dostum, o kadar çok hareket ettim ki kendimi göçebe gibi hissetmeye başladım."
Ross, Ne?
Chandler, Gonad dediğini sanmış.
Sağlık Müfettişi," Vay canına, Monica, eğer her restoran seninki kadar temiz olsaydı, geçimimi sağlamakta zorlanırdım."
Monica," Oh, Larry."
Phoebe," Şey, sağlık müfettişleri komisyonla mı çalışıyor?"
Larry," Hayır, rüşvet."
Phoebe," Gülmek sorun değil, değil mi?"
Larry," Evet, şaka yapıyordum."
Phoebe, Tamam.
Larry, Mutfak zeminlerini kontrol edeceğim.
Monica," Tamam, kendini şımart, Larry."
Phoebe, Leziz!
Monica, Larry?
Phoebe, Oh evet! Mutfağımın zeminlerini kontrol etmesine izin verirdim.
Larry,  98. Şef şapkanı takmadığın için 2 puan düşürdüm ve bu bir 5. Bölüm ihlali.
Monica," Şey, bak, Larry tatlım, şey, 5. Bölüm hakkında bir kitap yazdım ve mutfakta olmadığın sürece şapkanı takmak zorunda olmadığını biliyorum."
Larry, Peki şapkan nerede?
Monica," Mutfakta, gidip alacağım."
Larry," Ahh, işte 2 nokta."
Phoebe," Hey, yazdığın kitabı gerçekten okumalısın.  Vay canına! Şapkayı mutfakta gördün ve onu almak için oraya şapkasız girmesi gerektiğini biliyordun. Kendi sağlık müfettişi dedektif şovun olabilir!"
Larry," Oh, bunu bilmiyorum."
Phoebe," Evet, ama o zaman senin yardımcın Vunda olabilirim."
Larry," Belki şey, Vunda bana numarasını verebilir ve onu bir ara yemeğe davet edebilirim."
Phoebe," Tamam, bunu çok severdi! Bilirsin, çünkü yemek yenecek tüm temiz yerleri biliyorsun."
Larry, Seni ararım.
Phoebe, Tamam.
Phoebe, Çok komik!
Monica, Teşekkürler.
Rachel, Teşekkürler.  Mon?
Monica, Hmm?
Rachel," Ross nasıl? Bilirsin, Emily olayından beri."
Monica," Çok iyi değil, şey, ama bununla başa çıkıyor. Ah, bir dakika, denemeyeceksin..."
Rachel," Ah, tatlım, lütfen, hayır, Ross olayına tekrar başlayamam. Yani, uzun bir süre işleri berbat edecek. Ve ayrıca bilirsin, ben boşandıktan hemen sonra erkeklerle ilgilenmiyorum."
Monica," Doğru, evlenmelerinden sadece 5 dakika önce onlarla ilgileniyorsun."
Danny,  İki kilo Moca Java lütfen.
Monica,  Danny. Bir daha dışarı çıkacak mısınız?
Rachel," Bilmiyorum! Bir keresinde dışarı çıktığımızdan beri beni aramadı. Onu koridorda görüyorum, flört ediyoruz, ha-ha-ha-ha diyorum ve hiçbir şey olmuyor."
Danny,  Hey!
Rachel," Merhaba Danny!  Vay canına! Susamışsın, ha?"
Danny," Şey, aslında, aslında, cumartesi günü evimde bir parti veriyorum, bir nevi eve taşınma partisi gibi bir şey."
Monica," Ohh, eğlenceli!"
Rachel," Ohh, harika!"
Danny," Evet, gerçekten sabırsızlanıyorum."
Rachel, Evet.
Danny," Tamam, görüşürüz."
Monica, Sanırım evini ısıtmayacağız.
Rachel,"  Tamam. Tamam, ne yaptığını anlıyorum! Beni dışarı davet etmiyor, çünkü onu dışarı davet etmemi istiyor."
Monica, Ve sen bunu yapmayacaksın.
Rachel," Doğru! Çünkü bu ona kontrolü verirdi! Şimdi de, ""Aman Tanrım, parti yapacağım"" gibi bir şey uyduruyor, beni davet için ikna etmeye çalışıyor. Suratına patladı, değil mi?"
Monica," Yani, parti yok."
Rachel," Hayır, parti var. Parti var. Ama güç, hala herkesin elinde. Beni takip ediyor musun?"
Monica," Sanırım öyle. Bak, seni partisine davet etmiyor çünkü senden hoşlanıyor."
Rachel, Kesinlikle.
Joey, Ross?
Ross,  Hey oda arkadaşlarım!
Chandler, Evle ilgili yaptıklarınızı çok beğendim.
Ross," Ah, evet biliyorum, biliyorum, çok fazla kutu var ama yine de burada kalmama izin verdiğiniz için gerçekten minnettarım."
Joey," Sorun değil. Ve dinle, hey! Bir süre burada kalacağın için neden yapmıyorsun—ben de adını telesekretere yazmayı düşünüyordum."
Chandler," Ah, evet!"
Ross," Ah, umarım aldırmazsın, birazcık abarttım. Şuna bir bak.  Seni geri arayacağız, arayacağız!"
Joey," Hey, tamam!"
Ross," Çok güzel, değil mi?"
Joey,"  Sen de sahte gülüyorsun, değil mi?"
Chandler," Ah, gözyaşları gerçek."
Larry, Bu akşam çok güzel görünüyorsun.
Phoebe,  Rozetini tekrar göster.
Phoebe, Parlak.
Larry," Ah, yıkanmama izin verir misin? Çünkü işten yeni geldim ve bu bebeklerin  nereye gittiğini kim bilir."
Phoebe,  Hiç durmadan çalışıyorsun!
Larry,  Buradan gidiyoruz!
Phoebe, Neden?!
Larry, Mutfağın önünden geçerken 10 ihlal gördüm! Burayı kapatıyorum!
Phoebe,  Bunu yapma gücüne sahip misin?
Larry, Bu güç.
Phoebe,  Kapat.
Joey, Hey.
Chandler, Ne yapıyorsun?
Joey, Hiçbir şey.
Chandler, Bir kale inşa ettin değil mi?
Joey,  Bir nevi.
Chandler,"  Aman Tanrım, hava temizleyicisi! Ross'un hava temizleyicisi! Üniversitede geçirdiğim 4 yıl boyunca duyduğum tek şey"
Joey," Dostum, arada bir dışarı çıkmalıydın."
Chandler, Bu şeyden nefret ediyorum!
Joey," Hadi ama Chandler, Ross bizim arkadaşımız. Şu anda bize ihtiyacı var, o yüzden neden büyümüyorsun ve gelip kalede biraz televizyon izlemiyorsun!"
Rachel," Ah, merhaba Danny."
Danny," Hey çocuklar, ben sadece yarın geceki partiye sizi davet etmek istiyordum."
Monica," Ah, teşekkürler! Uğramaya çalışırız."
Rachel," Şey, aslında, sanırım meşgul olacağım."
Monica, Sen mi?
Rachel," Evet! O şey, galayı aldığımı hatırla."
Danny," Evet, gala ne için?"
Rachel," Şey, bir regatta galası."
Danny, Gerçekten mi! Sen-sen yelken mi?
Rachel," Hayır-hayır, ama destekliyorum."
Danny," Tamam,  Umarım yarın gece görüşürüz."
Monica, Tamam.
Danny, Kendine iyi bak.
Rachel," Tamam.  Tam oraya girdi, değil mi?"
Monica, Ne? Partiye seni davet etmesini istedin ve yaptı!
Rachel," Evet, ama son dakikaya kadar bekledi! Yani evet dersem, aptal partisine davet edilmek için beklemekten daha iyi bir şey yapmayacağımı bilecekti. ""Hayır!"" dedim. Bu da beni tekrar sürücü koltuğuna oturtuyor."
Monica, Harika. Yani top onun sahasında mı?
Rachel, Top? Top yok.
Ross,"  Joey, lütfen!"
Joey, Özür dilerim.
Joey, Ahhhhhhhhhh…
Chandler,  Merhaba çocuklar!
Joey, Hey! Biraz langırt oynamak ister misin? Lütfen?
Chandler, Tamam.
Joey," Hayır-hayır, hayır! Masayı benim odama taşımalıyız, evet! Tüm kutular yüzünden. Hadi!"
Joey," Tamam, bir sorum var. Bunun olayı ne?"
Chandler, Güle güle küçük kukla Joey eli?
Joey," Hayır, sessiz ol olayı!"
Chandler, Bunu mu demek istiyorsun.
Joey," Hımm-hım! Bak, B-B-Bunun daha ne kadarına dayanabileceğimi bilmiyorum! Baywatch kasetimin üzerine böceklerle ilgili bir şov yaptığını biliyor muydun! Aman Tanrım! Ya bu porno olsaydı?"
Chandler,"  Tamam bak, bilirsin, bu zor olabilir ama hadi ama, bu Ross! Onunla üniversitede hayatta kaldım!"
Joey," Tamam, sanırım biraz daha dayanabilirim. Hadi bir oyun oynayalım."
Chandler, Tamam.
Chandler, Hayır-hayır-hayır-hayır!
Joey, EVET!!
Ross,"  Uh çocuklar,"
Chandler," Tamam, yani buradan gidiyor."
Joey, Hımm-hım.
Joey,  Hey!
Monica, Hey!
Joey, Yiyecek bir şeyiniz var mı? Tavuk almak için Johnos'a gittim ve kapalıydı!
Phoebe," Ah, Larry'yi oraya yemeğe götürdüm ama her yer ihlal edilmişti. Bu yüzden kapattık!"
Joey," Pheebs, eğer bu adam en sevdiğimiz yerleri kapatmaya devam ederse, nerede yiyeceğiz?!"
Monica," Bilmiyorum, temiz yerler mi?"
Joey," Eee, lezzetli!"
Monica,  Danny bu.
Rachel, Onu içeri alma! Bir yarış galasında olmam gerekiyordu.
Monica,  Hemen orada olacağız!  Daha sonra başlayacağını söyleyemez misin?
Rachel, Ne? Gece başlayan bir yarış galası nasıl olur?!
Monica, Sahte olanlardan!
Danny," Hey, merhaba, bir kepçeye ihtiyacım var. Kepçen var mı?"
Monica, Bir kepçemiz var.
Danny," Teşekkürler, partide görüşürüz."
Monica," Tamam, harika!"
Phoebe," Hey, çocuklar, Larry'nin ne diyeceğini biliyor musunuz? ""Görüşürüz kepçe."" derdi."
Chandler," Eh, ben-ben-ben bununla işim bitti. Ross, bir şey ister misin? Spor? Uluslararası? Daire ilanları?"
Ross, Ben spor alırım.
Joey, Benim!
Ross," Tamam. Uhh, uluslararası."
Joey," Ah, o da benim!  Ben İtalyanım!"
Ross," Sanırım bu daire ilanlarına bakabilirim, burada hiçbir şey olmasa da."
Chandler, 7. sayfada bile değil mi?
Ross,"  Ah evet! Sen—hey, haklısın! İşte uygun fiyatlı bir yer,  iki yatak odalı, işe yakın, ooh, beş hafta içinde boşalmış!"
Chandler, Peki ya o dairenin içine ne dersin?
Ross," Ah, bilmiyorum, bir stüdyo için biraz pahalı."
Joey, Ama şimdi boşalmış! Değil mi?
Chandler," Evet, öyle."
Joey," Hey, hadi bakalım!"
Ross," Tamam, gidelim."
Joey, Tamam!
Chandler, İşte oldu!
Ross," Oh-oh-ooh, hey millet, acaba hava temizleyici için yeni hava filtreleri alabilir misiniz diye merak ediyordum? Yani sonuçta hepimiz kullanıyoruz."
Chandler, Hadi daha hızlı gidelim.
Joey, Evet!
Ross, Aman Tanrım!
Chandler," Evet, şu mutfağa, banyoya bak. Harika! Yani küvetteyken yemek pişirebiliyorsun."
Joey," Birisi kafasını kullanıyordu. Hey, evin geri kalanına bakalım."
Ross," Sanırım burası. Bilmiyorum, belki de bakmaya devam etmeliyiz."
Joey," Ama hey, Ross, burası şu anda müsait!"
Chandler," Evet, önümüzdeki beş hafta boyunca bizimle sıkışıp kalmak istemezsin."
Joey, Evet.
Ross,"  Yani, sence burayı almalı mıyım?"
Joey," Ah, mükemmel!"
Ross,  Peki ya sen?
Chandler, Mutfak/banyo.
Ross," Tamam, ne demek istediğinizi anlıyorum. Şey, aşağı inip bir başvuru formu dolduracağım."
Chandler, Biz kötü insanlarız.
Joey, Ondan kurtulmaya çalıştığımızı biliyordu. Biliyordu!  Mutfağımıza bir küvet yaptırabilir miyiz sence?
Larry,"  Hey, akşam yemeğine hazır mısın?"
Phoebe," Ooh, kesinlikle!"
Larry, Harika! Bleaker Street'teki İtalyan restoranına gitmek ister misin?
Phoebe," Ooh, orayı seviyorum!  Yani, hayır."
Larry, Mama Lisettie's ne olacak?
Phoebe, Tamam. Elbette!
Larry,  Acaba o süt  ne kadar zamandır bekletiliyor?
Phoebe," Ah, hayır-hayır, burası tamamen sağlıklı! Bu—bu süt benim. Bunu bugün aldım, çünkü süte susamıştım, bilirsin işte.  Tamam, gidelim!"
Larry," Hey, dostum!  Tüm çöplerin arka çıkıştan atılmasını gerektiren Sağlık Kanunu'nun 11-B Bölümü'nü biliyor musun?"
Gunther, Ama o zaman kuru temizlemecinin etrafından dolanmam gerekirdi.
Larry," Ah, yani sağlık yerine rahatlığı mı tercih edeceğini söylüyorsun?!"
